ampl: display Y;
Y [M1,*,Buraki,*] (tr)
:   S1 S10    S2   S3  S4  S5    S6    S7  S8  S9    :=
45   0      0   0      0   0   0   0   0   0   0.67
46   0      0   0      0   0   0   0   0   0   0
47   0      0   0      0   0   0   0   0   0   0
48   0      0   0      0   0   0   0   0   0   0
49   0      0   0      0   0   0   0   0   0   0
50   0      0   0      0   0   0   0   0   0   0
51   0      0   0      0   0   0   0   0   0   0
52   0.34   0   0      0   0   0   0   0   0   0.08

 [M2,*,Marchew,*] (tr)
:     S1     S10   S2    S3   S4    S5    S6  S7  S8    S9     :=
1    0.62    7.25   0   0.75   0    6.44   0   0   0   4.69
2    0.02    0      0   0.27   0    0      0   0   0   0
3    0.02    0      0   0.27   0    0.5    0   0   0   0
4    0.02    0      0   0.27   0    0.5    0   0   0   0
5    0.02    0      0   0.27   0    0.5    0   0   0   0
6    0.02    0      0   0.28   0    0.66   0   0   0   0
7    0.03    0      0   0.53   0    0.71   0   0   0   0
8    0.03    0      0   0.57   0    1.29   0   0   0   0
9    0.05    7.03   0   0.61   0    1.56   0   0   0   0
10   0.05    1.5    0   0.91   0    1.38   0   0   0   0.4
11   0.65    1.62   0   2.3    0    0.39   0   0   0   1.24
12   0       1.92   0   0      0    0      0   0   0   8.02
13   0       2.48   0   1.35   0    0      0   0   0   0
14   0       2.24   0   1.58   0    0      0   0   0   0
15   0       2.6    0   1.87   0   12.68   0   0   0   0
16   2.9     0      0   2.15   0    3.31   0   0   0   0
17   0       0      0   2.05   0    2.88   0   0   0   5.26
18   0       0      0   2.02   0    0      0   0   0   0
19   0       2.79   0   2.35   0    0      0   0   0   2.83
20   0       3.51   0   2.18   0    4.3    0   0   0   4.51
21   0       3.01   0   2.49   0    4.94   0   0   0   3.88
22   0       5.89   0   2.44   0    5.22   0   0   0   4.13
23   0       6.47   0   2.36   0    5.47   0   0   0   4.28
24   0       6.6    0   2.96   0    5.53   0   0   0   0.1
25   0       4.56   0   2.19   0    7.53   0   0   0   0
26   0       4.64   0   3.19   0    7.73   0   0   0   0
